"Nino12","Nino34","PDO","TSA","SAM","Rainfall"
-0.1675,0.415,0.33,0.00943249999999907,-1.55,"normal"
-0.86,-0.14,0.985,-0.417759999999994,0.00749999999999995,"wet"
-0.34,-0.03,0.035,0.0677025000000029,1.605,"normal"
2.575,2.1675,0.815,0.105522500000003,-1.1175,"normal"
-0.3125,-0.69,1.4825,0.750115000000001,-0.64,"wet"
-0.7475,-1.0725,0.3725,0.467010000000002,-1.425,"normal"
-0.6325,-0.585,1.13,0.242605000000005,-0.97,"normal"
0.8675,1.145,1.4975,0.232379999999999,-1.2,"dry"
0.0475,0.595,0.5325,0.727410000000003,-0.365,"wet"
-0.4125,-1.6575,-1.0175,0.624055000000002,0.8,"dry"
-0.36,0.1125,-0.76,-0.00854999999999961,0.6175,"normal"
-0.1575,0.3125,-1.555,0.146350000000005,0.17,"normal"
0.5425,1.5875,0.04,-0.0903475,-1.0125,"normal"
0.1125,0.3025,0.0775,-0.148774999999997,-0.23,"normal"
-0.455,0,0.53,0.432942500000003,1.555,"normal"
0.315,0.9175,-0.65,0.330187500000005,0.9975,"normal"
-0.42,-0.6275,0.8275,0.175855000000002,0.5125,"normal"
-0.2,-0.29,0.2725,-0.282752499999997,1.1275,"wet"
3.395,2.0725,1.2125,0.845822500000004,0.57,"normal"
-0.00750000000000001,-1.3425,-1.0275,-0.176612499999997,1.005,"normal"
-0.745,-1.53,-1.515,0.387630000000001,2.4425,"wet"
-0.3225,-0.7275,0.015,0.203692500000002,-0.9725,"normal"
-0.435,-0.1225,-1.08,0.0154475000000005,0.44,"normal"
0.0225,0.8775,1.315,0.717030000000001,-0.07,"normal"
-0.065,0.1625,-0.3775,0.399384999999999,-0.18,"dry"
-0.365,0.4525,-0.025,0.316277500000005,0.38,"normal"
-0.455,-0.7925,0.02,0.117227500000002,-0.5975,"normal"
0.15,0.415,-0.73,0.281667500000005,0.74,"wet"
-0.565,-1.5675,-1.2725,0.4123175,1.77,"wet"
-0.415,-0.8325,-1.74,0.412155000000006,1.1175,"normal"
0.2125,1.3725,-0.0925,0.935275000000004,-0.3475,"normal"
-0.5,-1.3925,-1.645,0.517432500000005,0.2025,"normal"
-0.1725,-0.7675,-1.815,-0.3033,1.365,"dry"
-0.5025,-0.2725,-1.3275,0.238770000000002,1.24,"dry"
-0.265,-0.2575,-0.4325,0.136517500000004,0.585,"normal"
-0.1625,0.6025,1.5525,0.294305000000001,2.4,"normal"
1.525,2.2075,0.965,0.702687500000003,2.39,"normal"
0.7075,-0.2375,0.16,0.4542,-1.3225,"dry"
-1.13,-0.7925,-0.1025,0.154717500000004,1.2875,"normal"
0.485,0.7275,-0.4,0.773695,0.9575,"normal"
