"Nino12","Nino34","PDO","TSA","SAM","Rainfall"
0.92,1.0075,-0.41,-0.196719999999999,-3.05575,"dry"
-0.1725,-0.0875,-0.0775,-0.388702499999994,-2.7175,"normal"
0.6475,0.6675,-0.1075,-0.329499999999996,-1.88725,"normal"
0.6975,0.675,-0.1675,-0.5373825,-0.63175,"normal"
-1.0025,-0.375,-0.6065,-0.382257499999998,-1.4775,"dry"
-1.05,-1.26,-0.636,-0.743299999999998,-1.916,"dry"
-0.72,-0.835,-0.65475,-0.560019999999998,-0.084,"wet"
0.82,1.26,-0.6955,-0.647132499999998,-1.557,"normal"
0.4575,0.5275,-0.7405,-0.665064999999998,-0.72025,"dry"
-0.4325,-0.38,-0.5015,0.0321324999999995,-1.10075,"normal"
-0.355,-0.2575,-0.175,-0.5017575,-2.18375,"normal"
-0.48,-0.6375,-0.09575,-0.725317499999999,-3.60975,"wet"
-0.63,0.625,-0.0612500000000001,0.584145000000003,-1.7485,"dry"
-0.0775,-0.6725,0.115,-0.619089999999996,-2.2265,"dry"
1.005,1.4,0.32975,0.152079999999998,-3.80325,"normal"
-0.0675,-0.02,0.29175,-0.221529999999998,-1.29925,"normal"
-0.27,0.1725,0.2515,-0.452212499999998,-0.77325,"wet"
-0.55,-0.1025,0.30075,-0.441944999999997,-2.101,"dry"
-0.4125,0.415,0.4145,-0.717817499999999,-0.7335,"dry"
0.9475,1.3525,0.4685,-0.210227499999998,-1.6445,"wet"
0.5025,-0.16,0.35875,-0.653220000000001,-2.34,"dry"
-0.21,-0.225,0.36925,-0.308489999999999,-2.763,"dry"
-0.425,-0.99,0.366,-0.279942500000001,-0.128,"dry"
-1.1275,-0.2575,0.43525,0.187600000000003,-1.23225,"dry"
-0.065,0.2975,0.591,-0.29796,-0.556,"normal"
-0.305,0.22,0.8935,-0.260397499999996,-2.22425,"dry"
-0.9,0.045,0.887,-0.243807499999999,-1.54075,"normal"
-0.55,-0.815,0.97125,-0.603454999999997,-1.72925,"normal"
0.245,0.95,0.895,0.554715000000005,-1.257,"normal"
0.675,1.38,0.6905,0.541932500000001,-0.506,"dry"
0.425,0.665,0.63725,-0.134617499999997,-1.09375,"dry"
-0.2275,-1.18,0.5585,-0.240579999999994,-1.5725,"normal"
-0.22,-0.2225,0.2775,-0.126309999999997,-0.648,"normal"
-0.4575,-0.47,-0.0545,0.728812500000004,-2.16675,"normal"
-0.5925,-0.395,-0.45775,-0.2635875,-0.37425,"normal"
-0.27,0.1425,-0.81825,-0.0864325000000008,-0.63725,"normal"
0.135,0.3075,-0.813,-0.0528374999999954,-0.49,"dry"
