"Nino12","Nino34","PDO","TSA","Rainfall"
-0.4575,-0.47,-0.2425,0.728812500000004,"dry"
0.135,0.3075,-0.1825,-0.0528374999999954,"dry"
-0.1525,-0.0925,-2.415,-0.1425725,"dry"
-0.98,-1.205,-1.65,0.0143825000000035,"dry"
-0.3925,-0.92,-1.3725,-0.773952499999996,"dry"
0.1525,0.0675,-0.68,-0.128264999999999,"dry"
-0.4875,0.19,-0.8525,-0.2819675,"dry"
-0.7275,-1.165,-2.4175,-0.482517499999997,"dry"
-0.215,-0.325,-1.245,-0.322269999999996,"dry"
0.9175,1.2775,0.7125,-0.3113575,"wet"
0.1775,0.3725,0.5975,0.032327500000001,"wet"
0.055,-0.0475,0.6125,-0.253799999999998,"wet"
-0.64,-0.2775,-1.165,0.011330000000001,"dry"
-0.5175,-0.2825,-0.06,-0.0428700000000006,"wet"
-0.1825,-0.585,-0.5875,-0.213092499999998,"dry"
0.1475,1.06,-0.4625,-0.212867499999998,"wet"
-0.6825,-0.46,-0.375,0.2372625,"dry"
-1.215,-0.6125,-0.36,-0.158695000000002,"wet"
-0.0375,0.4625,1.1,-0.16714,"dry"
0.0725,-0.485,-1.8425,-0.127907499999999,"dry"
0.7325,1.3625,-0.4875,0.93112,"wet"
-0.6325,-0.5375,-0.595,0.137140000000002,"dry"
-0.6375,-1.2925,-1.2225,-0.405444999999997,"wet"
0.005,0.6075,1.1425,-0.0900249999999971,"wet"
-0.4375,0.595,0.6075,-0.106934999999996,"wet"
-0.0925,0.085,-0.715,-0.215477499999999,"wet"
-0.86,-0.14,0.985,-0.417759999999994,"wet"
2.575,2.1675,0.815,0.105522500000003,"wet"
-0.3125,-0.69,1.4825,0.750115000000001,"wet"
0.8675,1.145,1.4975,0.232379999999999,"dry"
0.0475,0.595,0.5325,0.727410000000003,"wet"
-0.4125,-1.6575,-1.0175,0.624055000000002,"dry"
-0.1575,0.3125,-1.555,0.146350000000005,"wet"
0.5425,1.5875,0.04,-0.0903475,"wet"
-0.455,0,0.53,0.432942500000003,"wet"
-0.42,-0.6275,0.8275,0.175855000000002,"dry"
